# GXMame 0.7@@@@@@|NOID|NOCRC|x|2||No Genre|region-unknown||dev-unknown|No Rating|media-unknown|input-unknown|
razmataz@@-@@-@@Razzmatazz|NOID|NOCRC|x|0|1983|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|zaxxon
ixion@@-@@-@@Ixion (prototype)|NOID|NOCRC|x|0|1983|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|zaxxon
congo@@-@@-@@Congo Bongo|NOID|NOCRC|x|0|1983|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|zaxxon
tiptop@@congo@@congo@@Tip Top|NOID|NOCRC|x|0|1983|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|zaxxon
chboxing@@-@@-@@Champion Boxing|NOID|NOCRC|x|0|1984|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|sg1000a
chwrestl@@-@@-@@Champion Pro Wrestling|NOID|NOCRC|x|0|1985|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|sg1000a
starjack@@-@@-@@Star Jacker (Sega)|NOID|NOCRC|x|0|1983|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|system1
starjacs@@starjack@@starjack@@Star Jacker (Stern)|NOID|NOCRC|x|0|1983|No Genre|region-unknown|Stern|dev-unknown|No Rating|media-unknown|input-unknown|system1
regulus@@-@@-@@Regulus (New Ver.)|NOID|NOCRC|x|0|1983|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|system1
reguluso@@regulus@@regulus@@Regulus (Old Ver.)|NOID|NOCRC|x|0|1983|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|system1
regulusu@@regulus@@regulus@@Regulus (not encrypted)|NOID|NOCRC|x|0|1983|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|system1
upndown@@-@@-@@Up'n Down|NOID|NOCRC|x|0|1983|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|system1
upndownu@@upndown@@upndown@@Up'n Down (not encrypted)|NOID|NOCRC|x|0|1983|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|system1
mrviking@@-@@-@@Mister Viking|NOID|NOCRC|x|0|1984|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|system1
mrvikngj@@mrviking@@mrviking@@Mister Viking (Japan)|NOID|NOCRC|x|0|1984|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|system1
swat@@-@@-@@SWAT|NOID|NOCRC|x|0|1984|No Genre|region-unknown|Coreland / Sega|dev-unknown|No Rating|media-unknown|input-unknown|system1
flicky@@-@@-@@Flicky (128k Ver.)|NOID|NOCRC|x|0|1984|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|system1
flickyo@@flicky@@flicky@@Flicky (64k Ver.)|NOID|NOCRC|x|0|1984|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|system1
wmatch@@-@@-@@Water Match|NOID|NOCRC|x|0|1984|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|system1
bullfgt@@-@@-@@Bullfight|NOID|NOCRC|x|0|1984|No Genre|region-unknown|Coreland / Sega|dev-unknown|No Rating|media-unknown|input-unknown|system1
thetogyu@@bullfgt@@bullfgt@@The Togyu (Japan)|NOID|NOCRC|x|0|1984|No Genre|region-unknown|Coreland / Sega|dev-unknown|No Rating|media-unknown|input-unknown|system1
spatter@@-@@-@@Spatter|NOID|NOCRC|x|0|1984|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|system1
ssanchan@@spatter@@spatter@@Sanrin San Chan (Japan)|NOID|NOCRC|x|0|1984|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|system1
pitfall2@@-@@-@@Pitfall II|NOID|NOCRC|x|0|1985|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|system1
pitfallu@@pitfall2@@pitfall2@@Pitfall II (not encrypted)|NOID|NOCRC|x|0|1985|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|system1
seganinj@@-@@-@@Sega Ninja|NOID|NOCRC|x|0|1985|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|system1
seganinu@@seganinj@@seganinj@@Sega Ninja (not encrypted)|NOID|NOCRC|x|0|1985|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|system1
ninja@@seganinj@@seganinj@@Ninja|NOID|NOCRC|x|0|1985|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|system1
nprinces@@seganinj@@seganinj@@Ninja Princess (64k Ver. bootleg?)|NOID|NOCRC|x|0|1985|No Genre|region-unknown|bootleg?|dev-unknown|No Rating|media-unknown|input-unknown|system1
nprincso@@seganinj@@seganinj@@Ninja Princess (128k Ver.)|NOID|NOCRC|x|0|1985|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|system1
nprincsu@@seganinj@@seganinj@@Ninja Princess (64k Ver. not encrypted)|NOID|NOCRC|x|0|1985|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|system1
nprincsb@@seganinj@@seganinj@@Ninja Princess (128k Ver. bootleg?)|NOID|NOCRC|x|0|1985|No Genre|region-unknown|bootleg?|dev-unknown|No Rating|media-unknown|input-unknown|system1
imsorry@@-@@-@@I'm Sorry (US)|NOID|NOCRC|x|0|1985|No Genre|region-unknown|Coreland / Sega|dev-unknown|No Rating|media-unknown|input-unknown|system1
imsorryj@@imsorry@@imsorry@@Gonbee no I'm Sorry (Japan)|NOID|NOCRC|x|0|1985|No Genre|region-unknown|Coreland / Sega|dev-unknown|No Rating|media-unknown|input-unknown|system1
teddybb@@-@@-@@TeddyBoy Blues (New Ver.)|NOID|NOCRC|x|0|1985|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|system1
teddybbo@@teddybb@@teddybb@@TeddyBoy Blues (Old Ver.)|NOID|NOCRC|x|0|1985|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|system1
hvymetal@@-@@-@@Heavy Metal|NOID|NOCRC|x|0|1985|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|system1
myhero@@-@@-@@My Hero (US)|NOID|NOCRC|x|0|1985|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|system1
sscandal@@myhero@@myhero@@Seishun Scandal (Japan)|NOID|NOCRC|x|0|1985|No Genre|region-unknown|Coreland / Sega|dev-unknown|No Rating|media-unknown|input-unknown|system1
myherok@@myhero@@myhero@@My Hero (Korea)|NOID|NOCRC|x|0|1985|No Genre|region-unknown|Coreland / Sega|dev-unknown|No Rating|media-unknown|input-unknown|system1
shtngmst@@-@@-@@Shooting Master|NOID|NOCRC|x|0|1985|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|system1
chplft@@-@@-@@Choplifter|NOID|NOCRC|x|0|1985|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|system1
chplftb@@chplft@@chplft@@Choplifter (alternate)|NOID|NOCRC|x|0|1985|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|system1
chplftbl@@chplft@@chplft@@Choplifter (bootleg)|NOID|NOCRC|x|0|1985|No Genre|region-unknown|bootleg|dev-unknown|No Rating|media-unknown|input-unknown|system1
4dwarrio@@-@@-@@4-D Warriors|NOID|NOCRC|x|0|1985|No Genre|region-unknown|Coreland / Sega|dev-unknown|No Rating|media-unknown|input-unknown|system1
brain@@-@@-@@Brain|NOID|NOCRC|x|0|1986|No Genre|region-unknown|Coreland / Sega|dev-unknown|No Rating|media-unknown|input-unknown|system1
raflesia@@-@@-@@Rafflesia|NOID|NOCRC|x|0|1986|No Genre|region-unknown|Coreland / Sega|dev-unknown|No Rating|media-unknown|input-unknown|system1
wboy@@-@@-@@Wonder Boy (set 1, new encryption)|NOID|NOCRC|x|0|1986|No Genre|region-unknown|Sega (Escape license)|dev-unknown|No Rating|media-unknown|input-unknown|system1
wboyo@@wboy@@wboy@@Wonder Boy (set 1, old encryption)|NOID|NOCRC|x|0|1986|No Genre|region-unknown|Sega (Escape license)|dev-unknown|No Rating|media-unknown|input-unknown|system1
wboy2@@wboy@@wboy@@Wonder Boy (set 2)|NOID|NOCRC|x|0|1986|No Genre|region-unknown|Sega (Escape license)|dev-unknown|No Rating|media-unknown|input-unknown|system1
wboy2u@@wboy@@wboy@@Wonder Boy (set 2 not encrypted)|NOID|NOCRC|x|0|1986|No Genre|region-unknown|Sega (Escape license)|dev-unknown|No Rating|media-unknown|input-unknown|system1
wboy3@@wboy@@wboy@@Wonder Boy (set 3)|NOID|NOCRC|x|0|1986|No Genre|region-unknown|Sega (Escape license)|dev-unknown|No Rating|media-unknown|input-unknown|system1
wboyu@@wboy@@wboy@@Wonder Boy (not encrypted)|NOID|NOCRC|x|0|1986|No Genre|region-unknown|Sega (Escape license)|dev-unknown|No Rating|media-unknown|input-unknown|system1
wbdeluxe@@wboy@@wboy@@Wonder Boy Deluxe|NOID|NOCRC|x|0|1986|No Genre|region-unknown|Sega (Escape license)|dev-unknown|No Rating|media-unknown|input-unknown|system1
wboysys2@@wboy@@wboy@@Wonder Boy (system 2)|NOID|NOCRC|x|0|1986|No Genre|region-unknown|Sega (Escape license)|dev-unknown|No Rating|media-unknown|input-unknown|system1
gardia@@-@@-@@Gardia|NOID|NOCRC|x|0|1986|No Genre|region-unknown|Sega / Coreland|dev-unknown|No Rating|media-unknown|input-unknown|system1
gardiab@@gardia@@gardia@@Gardia (bootleg)|NOID|NOCRC|x|0|1986|No Genre|region-unknown|bootleg|dev-unknown|No Rating|media-unknown|input-unknown|system1
noboranb@@-@@-@@Noboranka (Japan)|NOID|NOCRC|x|0|1986|No Genre|region-unknown|bootleg|dev-unknown|No Rating|media-unknown|input-unknown|system1
blockgal@@-@@-@@Block Gal|NOID|NOCRC|x|0|1987|No Genre|region-unknown|Sega / Vic Tokai|dev-unknown|No Rating|media-unknown|input-unknown|system1
blckgalb@@blockgal@@blockgal@@Block Gal (bootleg)|NOID|NOCRC|x|0|1987|No Genre|region-unknown|bootleg|dev-unknown|No Rating|media-unknown|input-unknown|system1
tokisens@@-@@-@@Toki no Senshi - Chrono Soldier|NOID|NOCRC|x|0|1987|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|system1
wbml@@-@@-@@Wonder Boy in Monster Land (Japan New Ver.)|NOID|NOCRC|x|0|1987|No Genre|region-unknown|Sega / Westone|dev-unknown|No Rating|media-unknown|input-unknown|system1
wbmljo@@wbml@@wbml@@Wonder Boy in Monster Land (Japan Old Ver.)|NOID|NOCRC|x|0|1987|No Genre|region-unknown|Sega / Westone|dev-unknown|No Rating|media-unknown|input-unknown|system1
wbmljb@@wbml@@wbml@@Wonder Boy in Monster Land (Japan not encrypted)|NOID|NOCRC|x|0|1987|No Genre|region-unknown|bootleg|dev-unknown|No Rating|media-unknown|input-unknown|system1
wbmlb@@wbml@@wbml@@Wonder Boy in Monster Land|NOID|NOCRC|x|0|1987|No Genre|region-unknown|bootleg|dev-unknown|No Rating|media-unknown|input-unknown|system1
dakkochn@@-@@-@@DakkoChan Jansoh|NOID|NOCRC|x|0|1987|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|system1
ufosensi@@-@@-@@Ufo Senshi Yohko Chan|NOID|NOCRC|x|0|1988|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|system1
ufosensb@@ufosensi@@ufosensi@@Ufo Senshi Yohko Chan (not encrypted)|NOID|NOCRC|x|0|1988|No Genre|region-unknown|bootleg|dev-unknown|No Rating|media-unknown|input-unknown|system1
hangonjr@@-@@-@@Hang-On Jr.|NOID|NOCRC|x|0|1985|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|segasyse
transfrm@@-@@-@@Transformer|NOID|NOCRC|x|0|1986|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|segasyse
astrofl@@transfrm@@transfrm@@Astro Flash (Japan)|NOID|NOCRC|x|0|1986|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|segasyse
ridleofp@@-@@-@@Riddle of Pythagoras (Japan)|NOID|NOCRC|x|0|1986|No Genre|region-unknown|Sega / Nasco|dev-unknown|No Rating|media-unknown|input-unknown|segasyse
fantzn2@@-@@-@@Fantasy Zone 2|NOID|NOCRC|x|0|1988|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|segasyse
opaopa@@-@@-@@Opa Opa|NOID|NOCRC|x|0||No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|segasyse
tetrisse@@-@@-@@Tetris (Japan, System E)|NOID|NOCRC|x|0|1988|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|segasyse
turbo@@-@@-@@Turbo|NOID|NOCRC|x|0|1981|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|turbo
turboa@@turbo@@turbo@@Turbo (encrypted set 1)|NOID|NOCRC|x|0|1981|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|turbo
turbob@@turbo@@turbo@@Turbo (encrypted set 2)|NOID|NOCRC|x|0|1981|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|turbo
subroc3d@@-@@-@@Subroc-3D|NOID|NOCRC|x|0|1982|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|turbo
buckrog@@-@@-@@Buck Rogers: Planet of Zoom|NOID|NOCRC|x|0|1982|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|turbo
buckrogn@@buckrog@@buckrog@@Buck Rogers: Planet of Zoom (not encrypted)|NOID|NOCRC|x|0|1982|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|turbo
zoom909@@buckrog@@buckrog@@Zoom 909|NOID|NOCRC|x|0|1982|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|turbo
kopunch@@-@@-@@KO Punch|NOID|NOCRC|x|0|1981|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|kopunch
suprloco@@-@@-@@Super Locomotive|NOID|NOCRC|x|0|1982|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|suprloco
dotrikun@@-@@-@@Dottori Kun (new version)|NOID|NOCRC|x|0|1990|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|dotrikun
dotriku2@@dotrikun@@dotrikun@@Dottori Kun (old version)|NOID|NOCRC|x|0|1990|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|dotrikun
spcpostn@@-@@-@@Space Position (Japan)|NOID|NOCRC|x|0|1986|No Genre|region-unknown|Sega / Nasco|dev-unknown|No Rating|media-unknown|input-unknown|angelkds
angelkds@@-@@-@@Angel Kids (Japan)|NOID|NOCRC|x|0|1988|No Genre|region-unknown|Sega / Nasco?|dev-unknown|No Rating|media-unknown|input-unknown|angelkds
calorie@@-@@-@@Calorie Kun vs Moguranian|NOID|NOCRC|x|0|1986|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|calorie
calorieb@@calorie@@calorie@@Calorie Kun vs Moguranian (bootleg)|NOID|NOCRC|x|0|1986|No Genre|region-unknown|bootleg|dev-unknown|No Rating|media-unknown|input-unknown|calorie
enduror@@-@@-@@Enduro Racer (YM2151, FD1089B 317-0013A)|NOID|NOCRC|x|0|1986|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|segahang
enduror1@@enduror@@enduror@@Enduro Racer (YM2203, FD1089B 317-0013A)|NOID|NOCRC|x|0|1986|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|segahang
endurob2@@enduror@@enduror@@Enduro Racer (bootleg set 2)|NOID|NOCRC|x|0|1986|No Genre|region-unknown|bootleg|dev-unknown|No Rating|media-unknown|input-unknown|segahang
endurobl@@enduror@@enduror@@Enduro Racer (bootleg set 1)|NOID|NOCRC|x|0|1986|No Genre|region-unknown|bootleg|dev-unknown|No Rating|media-unknown|input-unknown|segahang
hangon@@-@@-@@Hang-On|NOID|NOCRC|x|0|1985|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|segahang
sharrier@@-@@-@@Space Harrier (Rev A, 8751 315-5163A)|NOID|NOCRC|x|0|1985|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|segahang
sharrirb@@sharrier@@sharrier@@Space Harrier (8751 315-5163)|NOID|NOCRC|x|0|1985|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|segahang
shangupb@@shangon@@shangon@@Super Hang-On (Hang-On upgrade, bootleg)|NOID|NOCRC|x|0|1992|No Genre|region-unknown|bootleg|dev-unknown|No Rating|media-unknown|input-unknown|segahang
aliensy1@@aliensyn@@aliensyn@@Alien Syndrome (set 1, System 16A, FD1089A 317-0033)|NOID|NOCRC|x|0|1987|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|segas16a
aliensy2@@aliensyn@@aliensyn@@Alien Syndrome (set 2, System 16A, FD1089A 317-0033)|NOID|NOCRC|x|0|1987|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|segas16a
bodyslam@@-@@-@@Body Slam (8751 317-unknown)|NOID|NOCRC|x|0|1986|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|segas16a
dumpmtmt@@bodyslam@@bodyslam@@Dump Matsumoto (Japan, 8751 317-unknown)|NOID|NOCRC|x|0|1986|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|segas16a
mjleague@@-@@-@@Major League|NOID|NOCRC|x|0|1985|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|segas16a
quartet@@-@@-@@Quartet (8751 317-unknown)|NOID|NOCRC|x|0|1986|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|segas16a
quartetj@@quartet@@quartet@@Quartet (Japan, 8751 317-unknown)|NOID|NOCRC|x|0|1986|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|segas16a
quartet2@@quartet@@quartet@@Quartet 2 (8751 317-unknown)|NOID|NOCRC|x|0|1986|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|segas16a
quartt2j@@quartet@@quartet@@Quartet 2 (Japan, 8751 317-unknown)|NOID|NOCRC|x|0|1986|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|segas16a
afighter@@-@@-@@Action Fighter, FD1089A 317-0018|NOID|NOCRC|x|0|1986|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|segas16a
alexkidd@@-@@-@@Alex Kidd: The Lost Stars (set 2, unprotected)|NOID|NOCRC|x|0|1986|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|segas16a
alexkid1@@alexkidd@@alexkidd@@Alex Kidd: The Lost Stars (set 1, FD1089A 317-unknown)|NOID|NOCRC|x|0|1986|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|segas16a
fantzone@@-@@-@@Fantasy Zone (set 2, unprotected)|NOID|NOCRC|x|0|1986|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|segas16a
fantzon1@@fantzone@@fantzone@@Fantasy Zone (set 1, unprotected)|NOID|NOCRC|x|0|1986|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|segas16a
sdi@@-@@-@@SDI - Strategic Defense Initiative (Europe, System 16A, FD1089B 317-0027)|NOID|NOCRC|x|0|1987|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|segas16a
shinobi@@-@@-@@Shinobi (set 5, System 16A, unprotected)|NOID|NOCRC|x|0|1987|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|segas16a
shinobi1@@shinobi@@shinobi@@Shinobi (set 1, System 16A, FD1094 317-0050)|NOID|NOCRC|x|0|1987|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|segas16a
sjryuko1@@sjryuko@@sjryuko@@Sukeban Jansi Ryuko (set 1, System 16A, FD1089B 317-5021)|NOID|NOCRC|x|0|1987|No Genre|region-unknown|White Board|dev-unknown|No Rating|media-unknown|input-unknown|segas16a
tetris@@-@@-@@Tetris (set 4, Japan, System 16A, FD1094 317-0093)|NOID|NOCRC|x|0|1988|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|segas16a
tetris3@@tetris@@tetris@@Tetris (set 3, Japan, System 16A, FD1094 317-0093a)|NOID|NOCRC|x|0|1988|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|segas16a
timesca1@@timescan@@timescan@@Time Scanner (set 1, System 16A, FD1089B 317-0024)|NOID|NOCRC|x|0|1987|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|segas16a
wb31@@wb3@@wb3@@Wonder Boy III - Monster Lair (set 1, System 16A, FD1094 317-0084)|NOID|NOCRC|x|0|1988|No Genre|region-unknown|Sega / Westone|dev-unknown|No Rating|media-unknown|input-unknown|segas16a
aceattac@@-@@-@@Ace Attacker (FD1094 317-0060)|NOID|NOCRC|x|0|1988|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|segas16b
aliensyn@@-@@-@@Alien Syndrome (set 4, System 16B, unprotected)|NOID|NOCRC|x|0|1987|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|segas16b
aliensy3@@aliensyn@@aliensyn@@Alien Syndrome (set 3, System 16B, FD1089A 317-0033)|NOID|NOCRC|x|0|1987|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|segas16b
altbeast@@-@@-@@Altered Beast (set 7, 8751 317-0078)|NOID|NOCRC|x|0|1988|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|segas16b
altbeasj@@altbeast@@altbeast@@Juuouki (set 6, Japan, 8751 317-0077)|NOID|NOCRC|x|0|1988|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|segas16b
altbeas5@@altbeast@@altbeast@@Altered Beast (set 5, 8751 317-0076)|NOID|NOCRC|x|0|1988|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|segas16b
altbeas4@@altbeast@@altbeast@@Altered Beast (set 4, MC-8123B 317-0066)|NOID|NOCRC|x|0|1988|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|segas16b
altbeaj3@@altbeast@@altbeast@@Juuouki (set 3, Japan, FD1094 317-0068)|NOID|NOCRC|x|0|1988|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|segas16b
altbeas2@@altbeast@@altbeast@@Altered Beast (set 2, MC-8123B 317-0066)|NOID|NOCRC|x|0|1988|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|segas16b
altbeaj1@@altbeast@@altbeast@@Juuouki (set 1, Japan, FD1094 317-0065)|NOID|NOCRC|x|0|1988|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|segas16b
aurail@@-@@-@@Aurail (set 3, US, unprotected)|NOID|NOCRC|x|0|1990|No Genre|region-unknown|Sega / Westone|dev-unknown|No Rating|media-unknown|input-unknown|segas16b
aurail1@@aurail@@aurail@@Aurail (set 2, World, FD1089B 317-0168)|NOID|NOCRC|x|0|1990|No Genre|region-unknown|Sega / Westone|dev-unknown|No Rating|media-unknown|input-unknown|segas16b
aurailj@@aurail@@aurail@@Aurail (set 1, Japan, FD1089A 317-0167)|NOID|NOCRC|x|0|1990|No Genre|region-unknown|Sega / Westone|dev-unknown|No Rating|media-unknown|input-unknown|segas16b
bayroute@@-@@-@@Bay Route (set 3, World, FD1094 317-0116)|NOID|NOCRC|x|0|1989|No Genre|region-unknown|Sunsoft / Sega|dev-unknown|No Rating|media-unknown|input-unknown|segas16b
bayroutj@@bayroute@@bayroute@@Bay Route (set 2, Japan, FD1094 317-0115)|NOID|NOCRC|x|0|1989|No Genre|region-unknown|Sunsoft / Sega|dev-unknown|No Rating|media-unknown|input-unknown|segas16b
bayrout1@@bayroute@@bayroute@@Bay Route (set 1, US, unprotected)|NOID|NOCRC|x|0|1989|No Genre|region-unknown|Sunsoft / Sega|dev-unknown|No Rating|media-unknown|input-unknown|segas16b
bullet@@-@@-@@Bullet (FD1094 317-0041)|NOID|NOCRC|x|0|1987|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|segas16b
cotton@@-@@-@@Cotton (set 3, World, FD1094 317-0181a)|NOID|NOCRC|x|0|1991|No Genre|region-unknown|Sega / Success|dev-unknown|No Rating|media-unknown|input-unknown|segas16b
cottonu@@cotton@@cotton@@Cotton (set 2, US, FD1094 317-0180)|NOID|NOCRC|x|0|1991|No Genre|region-unknown|Sega / Success|dev-unknown|No Rating|media-unknown|input-unknown|segas16b
cottonj@@cotton@@cotton@@Cotton (set 1, Japan, FD1094 317-0179a)|NOID|NOCRC|x|0|1991|No Genre|region-unknown|Sega / Success|dev-unknown|No Rating|media-unknown|input-unknown|segas16b
ddux@@-@@-@@Dynamite Dux (set 2, FD1094 317-0096)|NOID|NOCRC|x|0|1989|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|segas16b
ddux1@@ddux@@ddux@@Dynamite Dux (set 1, 8751 317-0095)|NOID|NOCRC|x|0|1989|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|segas16b
dunkshot@@-@@-@@Dunk Shot (FD1089 317-0022)|NOID|NOCRC|x|0|1986|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|segas16b
eswat@@-@@-@@E-Swat - Cyber Police (set 3, World, FD1094 317-0130)|NOID|NOCRC|x|0|1989|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|segas16b
eswatu@@eswat@@eswat@@E-Swat - Cyber Police (set 2, US, FD1094 317-0129)|NOID|NOCRC|x|0|1989|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|segas16b
eswatj@@eswat@@eswat@@E-Swat - Cyber Police (set 1, Japan, FD1094 317-0128)|NOID|NOCRC|x|0|1989|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|segas16b
exctleag@@-@@-@@Excite League (FD1094 317-0079?)|NOID|NOCRC|x|0||No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|segas16b
fpoint@@-@@-@@Flash Point (set 2, Japan, FD1094 317-0127A)|NOID|NOCRC|x|0|1989|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|segas16b
fpoint1@@fpoint@@fpoint@@Flash Point (set 1, Japan, FD1094 317-0127A)|NOID|NOCRC|x|0|1989|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|segas16b
goldnaxe@@-@@-@@Golden Axe (set 6, US, 8751 317-123A)|NOID|NOCRC|x|0|1989|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|segas16b
