# GXMame 0.7@@@@@@|NOID|NOCRC|x|2||No Genre|region-unknown||dev-unknown|No Rating|media-unknown|input-unknown|
pengo@@-@@-@@Pengo (set 1 rev c)|NOID|NOCRC|x|0|1982|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|pengo
pengo2@@pengo@@pengo@@Pengo (set 2)|NOID|NOCRC|x|0|1982|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|pengo
pengo2u@@pengo@@pengo@@Pengo (set 2 not encrypted)|NOID|NOCRC|x|0|1982|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|pengo
pengo3u@@pengo@@pengo@@Pengo (set 3 not encrypted)|NOID|NOCRC|x|0|1982|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|pengo
pengo4@@pengo@@pengo@@Pengo (set 4)|NOID|NOCRC|x|0|1982|No Genre|region-unknown|Sega|dev-unknown|No Rating|media-unknown|input-unknown|pengo
pengob@@pengo@@pengo@@Pengo (bootleg)|NOID|NOCRC|x|0|1982|No Genre|region-unknown|bootleg|dev-unknown|No Rating|media-unknown|input-unknown|pengo
penta@@pengo@@pengo@@Penta|NOID|NOCRC|x|0|1982|No Genre|region-unknown|bootleg|dev-unknown|No Rating|media-unknown|input-unknown|pengo
jrpacmbl@@jrpacman@@jrpacman@@Jr. Pac-Man (Pengo hardware)|NOID|NOCRC|x|0|1983|No Genre|region-unknown|bootleg|dev-unknown|No Rating|media-unknown|input-unknown|pengo
jrpacman@@-@@-@@Jr. Pac-Man|NOID|NOCRC|x|0|1983|No Genre|region-unknown|Bally Midway|dev-unknown|No Rating|media-unknown|input-unknown|jrpacman
megadon@@-@@-@@Megadon|NOID|NOCRC|x|0|1982|No Genre|region-unknown|Epos Corporation (Photar Industries license)|dev-unknown|No Rating|media-unknown|input-unknown|epos
catapult@@-@@-@@Catapult|NOID|NOCRC|x|0|1982|No Genre|region-unknown|Epos Corporation|dev-unknown|No Rating|media-unknown|input-unknown|epos
suprglob@@-@@-@@Super Glob|NOID|NOCRC|x|0|1983|No Genre|region-unknown|Epos Corporation|dev-unknown|No Rating|media-unknown|input-unknown|epos
theglob@@suprglob@@suprglob@@The Glob|NOID|NOCRC|x|0|1983|No Genre|region-unknown|Epos Corporation|dev-unknown|No Rating|media-unknown|input-unknown|epos
theglob2@@suprglob@@suprglob@@The Glob (earlier)|NOID|NOCRC|x|0|1983|No Genre|region-unknown|Epos Corporation|dev-unknown|No Rating|media-unknown|input-unknown|epos
theglob3@@suprglob@@suprglob@@The Glob (set 3)|NOID|NOCRC|x|0|1983|No Genre|region-unknown|Epos Corporation|dev-unknown|No Rating|media-unknown|input-unknown|epos
igmo@@-@@-@@IGMO|NOID|NOCRC|x|0|1984|No Genre|region-unknown|Epos Corporation|dev-unknown|No Rating|media-unknown|input-unknown|epos
dealer@@-@@-@@The Dealer|NOID|NOCRC|x|0||No Genre|region-unknown|Epos Corporation|dev-unknown|No Rating|media-unknown|input-unknown|epos
revenger@@-@@-@@Revenger|NOID|NOCRC|x|0|1984|No Genre|region-unknown|Epos Corporation|dev-unknown|No Rating|media-unknown|input-unknown|epos
galaxian@@-@@-@@Galaxian (Namco set 1)|NOID|NOCRC|x|0|1979|No Genre|region-unknown|Namco|dev-unknown|No Rating|media-unknown|input-unknown|galaxian
galaxiaj@@galaxian@@galaxian@@Galaxian (Namco set 2)|NOID|NOCRC|x|0|1979|No Genre|region-unknown|Namco|dev-unknown|No Rating|media-unknown|input-unknown|galaxian
galmidw@@galaxian@@galaxian@@Galaxian (Midway)|NOID|NOCRC|x|0|1979|No Genre|region-unknown|[Namco] (Midway license)|dev-unknown|No Rating|media-unknown|input-unknown|galaxian
galmidwo@@galaxian@@galaxian@@Galaxian (Midway, old rev)|NOID|NOCRC|x|0|1979|No Genre|region-unknown|[Namco] (Midway license)|dev-unknown|No Rating|media-unknown|input-unknown|galaxian
superg@@galaxian@@galaxian@@Super Galaxians|NOID|NOCRC|x|0|1979|No Genre|region-unknown|hack|dev-unknown|No Rating|media-unknown|input-unknown|galaxian
galapx@@galaxian@@galaxian@@Galaxian Part X|NOID|NOCRC|x|0|1979|No Genre|region-unknown|hack|dev-unknown|No Rating|media-unknown|input-unknown|galaxian
moonaln@@galaxian@@galaxian@@Moon Alien|NOID|NOCRC|x|0||No Genre|region-unknown|[Nichibutsu] (Karateco license)|dev-unknown|No Rating|media-unknown|input-unknown|galaxian
galap1@@galaxian@@galaxian@@Space Invaders Galactica|NOID|NOCRC|x|0|1979|No Genre|region-unknown|hack|dev-unknown|No Rating|media-unknown|input-unknown|galaxian
galap4@@galaxian@@galaxian@@Galaxian Part 4|NOID|NOCRC|x|0|1979|No Genre|region-unknown|hack|dev-unknown|No Rating|media-unknown|input-unknown|galaxian
galturbo@@galaxian@@galaxian@@Galaxian Turbo|NOID|NOCRC|x|0|1979|No Genre|region-unknown|hack|dev-unknown|No Rating|media-unknown|input-unknown|galaxian
swarm@@galaxian@@galaxian@@Swarm|NOID|NOCRC|x|0|1979|No Genre|region-unknown|hack|dev-unknown|No Rating|media-unknown|input-unknown|galaxian
zerotime@@galaxian@@galaxian@@Zero Time|NOID|NOCRC|x|0|1979|No Genre|region-unknown|Petaco S.A.|dev-unknown|No Rating|media-unknown|input-unknown|galaxian
starfght@@galaxian@@galaxian@@Star Fighter|NOID|NOCRC|x|0|1979|No Genre|region-unknown|Jeutel|dev-unknown|No Rating|media-unknown|input-unknown|galaxian
tst_galx@@galaxian@@galaxian@@Galaxian Test ROM|NOID|NOCRC|x|0||No Genre|region-unknown|Test ROM|dev-unknown|No Rating|media-unknown|input-unknown|galaxian
gmgalax@@-@@-@@Ghostmuncher Galaxian (bootleg)|NOID|NOCRC|x|0|1981|No Genre|region-unknown|bootleg|dev-unknown|No Rating|media-unknown|input-unknown|galaxian
pisces@@-@@-@@Pisces|NOID|NOCRC|x|0||No Genre|region-unknown|Subelectro|dev-unknown|No Rating|media-unknown|input-unknown|galaxian
piscesb@@pisces@@pisces@@Pisces (bootleg)|NOID|NOCRC|x|0||No Genre|region-unknown|bootleg|dev-unknown|No Rating|media-unknown|input-unknown|galaxian
omni@@pisces@@pisces@@Omni|NOID|NOCRC|x|0||No Genre|region-unknown|bootleg|dev-unknown|No Rating|media-unknown|input-unknown|galaxian
uniwars@@-@@-@@UniWar S|NOID|NOCRC|x|0|1980|No Genre|region-unknown|Irem|dev-unknown|No Rating|media-unknown|input-unknown|galaxian
gteikoku@@uniwars@@uniwars@@Gingateikoku No Gyakushu|NOID|NOCRC|x|0|1980|No Genre|region-unknown|Irem|dev-unknown|No Rating|media-unknown|input-unknown|galaxian
gteikokb@@uniwars@@uniwars@@Gingateikoku No Gyakushu (bootleg set 1)|NOID|NOCRC|x|0|1980|No Genre|region-unknown|bootleg|dev-unknown|No Rating|media-unknown|input-unknown|galaxian
